occupation_id;label;english_translation;country_code;lang_code;preferred;cc;lc;link_id;status_id;relation_id;comnum;product_id;hisco_id;comtxt;provenance
31283;Revisionssekreterare;Clerk, revision;SW;SW;0;SE;sv;23005;0;0;0;0;30000;1;SHD
31284;Revisionstjänsteman;Clerk, revision;SW;SW;0;SE;sv;23006;0;0;0;0;30000;1;SHD
31285;Revisor;Accountant;SW;SW;0;SE;sv;23007;0;0;0;0;11020;1;SHD
31286;Revisoränka;Widow, accountant;SW;SW;0;SE;sv;23008;11;0;0;0;11020;2;SHD
31287;Revisordotter;Daughter, accountant;SW;SW;0;SE;sv;23009;13;0;0;0;11020;2;SHD
31288;Revisorhustru;Wife, accountant;SW;SW;0;SE;sv;23010;11;0;0;0;11020;2;SHD
31290;Riddare;Knight;SW;SW;0;SE;sv;23011;31;0;0;0;-1;1;SHD
31291;Riddarhuskamrer;Chief bookkeeper, house of nobility;SW;SW;0;SE;sv;23012;0;0;0;0;21950;1;SHD
31292;Riddarhussekreterare;Clerk, house of nobility;SW;SW;0;SE;sv;23013;0;0;0;0;30000;1;SHD
31293;Ridknekt;Equestrian;SW;SW;0;SE;sv;23014;0;0;0;0;18020;1;SHD
31294;Ridkusk;Equestrian;SW;SW;0;SE;sv;23015;0;0;0;0;18020;1;SHD
31295;Riggare;Rigger;SW;SW;0;SE;sv;23016;0;0;0;0;97205;1;SHD
31296;Riksantikvarie;The King´s Custodian of National Antiquities;SW;SW;0;SE;sv;23017;0;0;0;0;19140;1;SHD
31297;Riksarkivarie;Keeper of the National Archives;SW;SW;0;SE;sv;23018;0;0;0;0;19130;1;SHD
31298;Riksbanksbiträde;Bankclerk;SW;SW;0;SE;sv;23019;0;0;0;0;33140;1;SHD
31299;Riksbanksbokhållare;Bankclerk;SW;SW;0;SE;sv;23020;0;0;0;0;33140;1;SHD
31301;Riksbankskassör;Cashier, bank;SW;SW;0;SE;sv;23021;0;0;0;0;33140;1;SHD
31302;Riksbankskassöränka;Widow, cashier, bank;SW;SW;0;SE;sv;23022;11;0;0;0;33140;2;SHD
31303;Riksbanksrevisor;Accountant, bank;SW;SW;0;SE;sv;23023;0;0;0;0;11020;1;SHD
31304;Riksbankstjänsteman;Bankclerk;SW;SW;0;SE;sv;23024;0;0;0;0;33140;1;SHD
31305;Riksbankstjänstemansänka;Widow, bankclerk;SW;SW;0;SE;sv;23025;11;0;0;0;33140;2;SHD
31306;Riksbanksvaktmästare;Caretaker, bank;SW;SW;0;SE;sv;23026;0;0;0;0;55130;1;SHD
31307;Riksdagsman;Parliamentarian;SW;SW;0;SE;sv;23027;0;0;0;0;20110;1;SHD
31308;Riksdagsrestauratris;Restaurant keeper, parliament;SW;SW;0;SE;sv;23028;0;0;0;0;51030;1;SHD
31309;Riksgäldskommissarie;Assistant Comptroller of National Debt Office;SW;SW;0;SE;sv;23029;0;0;0;0;20210;1;SHD
31310;Rikstelefonarbetare;Telephone worker;SW;SW;0;SE;sv;23030;0;0;0;0;85600;1;SHD
31311;Rikstelefonarbetareänka;Widow, telephone worker;SW;SW;0;SE;sv;23031;11;0;0;0;85600;2;SHD
31312;Rikstelefoniförestånderska;Telephone operator, national;SW;SW;0;SE;sv;23032;0;0;0;0;38020;1;SHD
31313;Rikstelefonist;Telephone operator, national;SW;SW;0;SE;sv;23033;0;0;0;0;38020;1;SHD
31314;Rikstelegrafist;Telegrapher, national;SW;SW;0;SE;sv;23034;0;0;0;0;38040;1;SHD
31315;Ringare;Parish worker;SW;SW;0;SE;sv;23035;0;0;0;0;14990;1;SHD
